detector,patch_n,auc,fpr_gap,baseline_auc,auc_drop
cnndetection,1,0.637987012987013,0.0,0.637987012987013,0.0
cnndetection,2,0.6355753968253968,0.0,0.637987012987013,0.0024116161616162257
cnndetection,4,0.6773214285714286,0.0,0.637987012987013,-0.03933441558441564
cnndetection,8,0.7221031746031746,0.0,0.637987012987013,-0.08411616161616164
cnndetection,16,0.5773412698412699,0.0,0.637987012987013,0.060645743145743114
cnndetection,32,0.4907738095238095,0.0,0.637987012987013,0.1472132034632035
lgrad,1,0.9732142857142856,0.2727272727272727,0.9732142857142856,0.0
lgrad,2,0.9879166666666668,0.074074074074074,0.9732142857142856,-0.014702380952381189
lgrad,4,0.9861904761904762,0.0180995475113122,0.9732142857142856,-0.012976190476190586
lgrad,8,0.9833234126984128,0.0522875816993464,0.9732142857142856,-0.010109126984127248
lgrad,16,0.9874503968253968,0.0769230769230769,0.9732142857142856,-0.014236111111111227
lgrad,32,0.9608333333333332,0.037037037037037,0.9732142857142856,0.012380952380952381
npr,1,0.976461038961039,0.1818181818181818,0.976461038961039,0.0
npr,2,0.9849206349206348,0.0398860398860398,0.976461038961039,-0.008459595959595778
npr,4,0.9851587301587302,0.0398860398860398,0.976461038961039,-0.00869769119769126
npr,8,0.9785515873015872,0.0398860398860398,0.976461038961039,-0.002090548340548226
npr,16,0.991031746031746,0.0769230769230769,0.976461038961039,-0.014570707070707067
npr,32,0.990218253968254,0.0769230769230769,0.976461038961039,-0.013757215007215051
